Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Longitude,Latitude
2022,508,103758,103758,Kensington,Dorr Paper & Food Supplies,9-15 Fink Street KENSINGTON VIC 3031,3609,Other Grocery Wholesaling,144.93369741425,-37.79718780954032
2022,508,103759,103759,Kensington,Wah Lien Trading Pty Ltd,Ground & Part Level 1 8-12 Fink Street KENSINGTON VIC 3031,3609,Other Grocery Wholesaling,144.93382249019646,-37.79767799545
2022,559,104199,104199,Kensington,Kensington IGA - Plus Liquor,16-22 Gatehouse Drive KENSINGTON VIC 3031,4110,Supermarket and Grocery Stores,144.91932140532697,-37.79199135785
2022,734,110372,110372,Southbank,Woolworths Metro Southbank,"Shop 1, 263 City Road SOUTHBANK VIC 3006",4110,Supermarket and Grocery Stores,144.9594939941902,-37.82684854435
2022,748,110435,110435,Southbank,South Melbourne Food Works,135 Wells Street SOUTHBANK VIC 3006,4110,Supermarket and Grocery Stores,144.96957121495,-37.83002099324626
2022,759,108631,108631,Melbourne (Remainder),Olam Orchards Australia Pty Ltd,"Part Unit 6, Level 4 437 St Kilda Road MELBOURNE VIC 3004",3605,Fruit and Vegetable Wholesaling,144.97753389612038,-37.83909801795
2022,760,108638,108638,Melbourne (Remainder),Urban Hub,Part Ground 479 St Kilda Road MELBOURNE VIC 3004,4111,Convenience Store,144.97855578386498,-37.84188069845
2022,781,110551,110551,Port Melbourne,ADAMS FOOD GROUP PTY LTD,"Suite 94, 21 Hall Street PORT MELBOURNE VIC 3207",3602,"Meat, Poultry and Smallgoods Wholesaling",144.9253878367231,-37.82302799475
2022,790,589450,589450,Port Melbourne,Calendar Cheese Co Pty Ltd,"Part Suite 2, Level 2 262 Lorimer Street PORT MELBOURNE VIC 3207",3603,Dairy Produce Wholesaling,144.90498155445,-37.826474855652506
2022,790,589450,589450,Port Melbourne,The Chia Co,Part Ground 262 Lorimer Street PORT MELBOURNE VIC 3207,3609,Other Grocery Wholesaling,144.90498155445,-37.826474855652506
2022,791,559376,559376,Port Melbourne,Greenham,222 Lorimer Street PORT MELBOURNE VIC 3207,3602,"Meat, Poultry and Smallgoods Wholesaling",144.90179482328125,-37.82926185745
2022,802,575821,575821,Southbank,Freshwater IGA Plus Liquor,"Shop 6, 2 Freshwater Place SOUTHBANK VIC 3006",4110,Supermarket and Grocery Stores,144.96261825100115,-37.8222167315
2022,802,575821,575821,Southbank,Saputo Dairy Australia,Level 15-16 2 Southbank Boulevard SOUTHBANK VIC 3006,3603,Dairy Produce Wholesaling,144.96261825100115,-37.8222167315
2022,808,108046,108046,Southbank,Lets Save,8 Power Street SOUTHBANK VIC 3006,4110,Supermarket and Grocery Stores,144.96119356125342,-37.8238626433
2022,861,102507,102507,South Yarra,7 Eleven,187 Domain Road SOUTH YARRA VIC 3141,4111,Convenience Store,144.98226281385,-37.83434396085672
